team_name,fifa_code,team_id,team_id_2026
Argentina,ARG,37,37.0
Australia,AUS,15,15.0
Belgium,BEL,25,25.0
Brazil,BRA,9,9.0
Cameroon,CMR,10000,
Canada,CAN,5,5.0
Colombia,COL,44,44.0
Costa Rica,CRC,10001,
Croatia,CRO,46,46.0
Denmark,DEN,10002,
Ecuador,ECU,20,20.0
Egypt,EGY,26,26.0
England,ENG,45,45.0
France,FRA,33,33.0
Germany,GER,17,17.0
Ghana,GHA,47,47.0
Iceland,ISL,10003,
Iran,IRN,27,27.0
Japan,JPN,22,22.0
Mexico,MEX,1,1.0
Morocco,MAR,10,10.0
Netherlands,NED,21,21.0
Nigeria,NGA,10004,
Panama,PAN,48,48.0
Peru,PER,10005,
Poland,POL,10006,
Portugal,POR,41,41.0
Qatar,QAT,7,7.0
Russia,RUS,10007,
Saudi Arabia,KSA,31,31.0
Senegal,SEN,34,34.0
Serbia,SRB,10008,
South Korea,KOR,3,3.0
Spain,ESP,29,29.0
Sweden,SWE,23,23.0
Switzerland,SUI,8,8.0
Tunisia,TUN,24,24.0
USA,USA,13,13.0
Uruguay,URU,32,32.0
Wales,WAL,10009,
