match_id,tournament,match_no,date,kickoff_source_time,kickoff_timezone,kickoff_utc,source_url,stage,group_name,team1,team2,team1_code,team2_code,team1_id,team2_id,neutral,team1_ht,team2_ht,team1_ft,team2_ft,went_extra_time,team1_et,team2_et,team1_extra_time_goals,team2_extra_time_goals,team1_final,team2_final,team1_pens,team2_pens,winner,venue
2022001,2022,1,2022-11-20,19:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 1,Group A,Qatar,Ecuador,QAT,ECU,7,20,0,0,2,0,2,0,,,,,0,2,,,Ecuador,"Al Bayt Stadium, Al Khor"
2022002,2022,2,2022-11-21,19:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 2,Group A,Senegal,Netherlands,SEN,NED,34,21,1,0,0,0,2,0,,,,,0,2,,,Netherlands,"Al Thumama Stadium, Doha"
2022007,2022,7,2022-11-21,16:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 2,Group B,England,Iran,ENG,IRN,45,27,1,3,0,6,2,0,,,,,6,2,,,England,"Khalifa International Stadium, Al Rayyan"
2022008,2022,8,2022-11-21,22:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 2,Group B,USA,Wales,USA,WAL,13,10009,1,1,0,1,1,0,,,,,1,1,,,Draw,"Ahmad bin Ali Stadium, Al Rayyan"
2022013,2022,13,2022-11-22,13:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 3,Group C,Argentina,Saudi Arabia,ARG,KSA,37,31,1,1,0,1,2,0,,,,,1,2,,,Saudi Arabia,"Lusail Iconic Stadium, Lusail"
2022014,2022,14,2022-11-22,19:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 3,Group C,Mexico,Poland,MEX,POL,1,10006,1,,,0,0,0,,,,,0,0,,,Draw,"Stadium 974, Doha"
2022019,2022,19,2022-11-22,16:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 3,Group D,Denmark,Tunisia,DEN,TUN,10002,24,1,,,0,0,0,,,,,0,0,,,Draw,"Education City Stadium, Al Rayyan"
2022020,2022,20,2022-11-22,22:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 3,Group D,France,Australia,FRA,AUS,33,15,1,2,1,4,1,0,,,,,4,1,,,France,"Al Janoub Stadium, Al Wakrah"
2022025,2022,25,2022-11-23,16:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 4,Group E,Germany,Japan,GER,JPN,17,22,1,1,0,1,2,0,,,,,1,2,,,Japan,"Khalifa International Stadium, Al Rayyan"
2022026,2022,26,2022-11-23,19:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 4,Group E,Spain,Costa Rica,ESP,CRC,29,10001,1,3,0,7,0,0,,,,,7,0,,,Spain,"Al Thumama Stadium, Doha"
2022031,2022,31,2022-11-23,13:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 4,Group F,Morocco,Croatia,MAR,CRO,10,46,1,,,0,0,0,,,,,0,0,,,Draw,"Al Bayt Stadium, Al Khor"
2022032,2022,32,2022-11-23,22:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 4,Group F,Belgium,Canada,BEL,CAN,25,5,1,1,0,1,0,0,,,,,1,0,,,Belgium,"Ahmad bin Ali Stadium, Al Rayyan"
2022037,2022,37,2022-11-24,13:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 5,Group G,Switzerland,Cameroon,SUI,CMR,8,10000,1,0,0,1,0,0,,,,,1,0,,,Switzerland,"Al Janoub Stadium, Al Wakrah"
2022038,2022,38,2022-11-24,22:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 5,Group G,Brazil,Serbia,BRA,SRB,9,10008,1,0,0,2,0,0,,,,,2,0,,,Brazil,"Lusail Iconic Stadium, Lusail"
2022043,2022,43,2022-11-24,16:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 5,Group H,Uruguay,South Korea,URU,KOR,32,3,1,,,0,0,0,,,,,0,0,,,Draw,"Education City Stadium, Al Rayyan"
2022044,2022,44,2022-11-24,19:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 5,Group H,Portugal,Ghana,POR,GHA,41,47,1,0,0,3,2,0,,,,,3,2,,,Portugal,"Stadium 974, Doha"
2022003,2022,3,2022-11-25,16:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 6,Group A,Qatar,Senegal,QAT,SEN,7,34,0,0,1,1,3,0,,,,,1,3,,,Senegal,"Al Thumama Stadium, Doha"
2022004,2022,4,2022-11-25,19:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 6,Group A,Netherlands,Ecuador,NED,ECU,21,20,1,1,0,1,1,0,,,,,1,1,,,Draw,"Khalifa International Stadium, Al Rayyan"
2022009,2022,9,2022-11-25,13:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 6,Group B,Wales,Iran,WAL,IRN,10009,27,1,0,0,0,2,0,,,,,0,2,,,Iran,"Ahmad bin Ali Stadium, Al Rayyan"
2022010,2022,10,2022-11-25,22:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 6,Group B,England,USA,ENG,USA,45,13,1,,,0,0,0,,,,,0,0,,,Draw,"Al Bayt Stadium, Al Khor"
2022015,2022,15,2022-11-26,16:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 7,Group C,Poland,Saudi Arabia,POL,KSA,10006,31,1,1,0,2,0,0,,,,,2,0,,,Poland,"Education City Stadium, Al Rayyan"
