match_id,goal_event_id,credited_team_id,scorer_team_id,player_id,player_identity_status,source_url,tournament,match_no,date,team,scorer,minute,penalty,own_goal
2018001,wc2018-1-1,10007,10007,,unresolved_source_name,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,2018,1,2018-06-14,Russia,Gazinsky,12,0,0
2018001,wc2018-1-2,10007,10007,,unresolved_source_name,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,2018,1,2018-06-14,Russia,Cheryshev,43,0,0
2018001,wc2018-1-3,10007,10007,,unresolved_source_name,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,2018,1,2018-06-14,Russia,Dzyuba,71,0,0
2018001,wc2018-1-4,10007,10007,,unresolved_source_name,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,2018,1,2018-06-14,Russia,Cheryshev,90+1,0,0
2018001,wc2018-1-5,10007,10007,,unresolved_source_name,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,2018,1,2018-06-14,Russia,Golovin,90+4,0,0
2018002,wc2018-2-1,32,32,,unresolved_source_name,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,2018,2,2018-06-15,Uruguay,Giménez,89,0,0
2018003,wc2018-3-1,10007,26,,unresolved_source_name,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,2018,3,2018-06-19,Russia,A. Fathi,47,0,1
2018003,wc2018-3-2,10007,10007,,unresolved_source_name,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,2018,3,2018-06-19,Russia,Cheryshev,59,0,0
2018003,wc2018-3-3,10007,10007,,unresolved_source_name,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,2018,3,2018-06-19,Russia,Dzyuba,62,0,0
2018003,wc2018-3-4,26,26,,unresolved_source_name,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,2018,3,2018-06-19,Egypt,M. Salah,73,1,0
2018004,wc2018-4-1,32,32,,unresolved_source_name,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,2018,4,2018-06-20,Uruguay,L. Suárez,23,0,0
2018005,wc2018-5-1,32,32,,unresolved_source_name,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,2018,5,2018-06-25,Uruguay,L. Suárez,10,0,0
2018005,wc2018-5-2,32,10007,,unresolved_source_name,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,2018,5,2018-06-25,Uruguay,Cheryshev,23,0,1
2018005,wc2018-5-3,32,32,,unresolved_source_name,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,2018,5,2018-06-25,Uruguay,E. Cavani,90,0,0
